"Station Name","HAMILTON RBG CS"
"Province","ONTARIO"
"Latitude","43.29"
"Longitude","-79.91"
"Elevation","102.00"
"Climate Identifier","6153301"
"WMO Identifier","71297"
"TC Identifier","XHM"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2014-05-01 00:00","2014","05","01","03:00"," ","5.0","","5.1","","98","","22","","2","","","","99.54","","","","","","NA"
"2014-05-01 01:00","2014","05","02","03:00"," ","5.0","","5.2","","98","","14","","2","","","","99.46","","","","","","NA"
"2014-05-01 02:00","2014","05","03","03:00"," ","5.0","","5.1","","98","","","M","1","","","","99.41","","","","","","NA"
"2014-05-01 03:00","2014","05","04","03:00"," ","5.0","","4.9","","98","","","M","0","","","","99.40","","","","","","NA"
"2014-05-01 04:00","2014","05","05","03:00"," ","5.0","","5.1","","99","","","M","0","","","","99.36","","","","","","NA"
"2014-05-01 05:00","2014","05","06","03:00"," ","5.0","","5.4","","99","","26","","3","","","","99.36","","","","","","NA"
"2014-05-01 06:00","2014","05","07","03:00"," ","5.0","","7.0","","98","","25","","5","","","","99.40","","","","","","NA"
"2014-05-01 07:00","2014","05","08","03:00"," ","5.0","","9.2","","98","","24","","6","","","","99.43","","","","","","NA"
"2014-05-01 08:00","2014","05","09","03:00"," ","7.0","","11.8","","98","","25","","9","","","","99.43","","","","","","NA"
"2014-05-01 09:00","2014","05","10","03:00"," ","7.0","","8.2","","74","","24","","13","","","","99.45","","","","","","NA"
"2014-05-01 10:00","2014","05","11","03:00"," ","7.0","","6.7","","87","","26","","9","","","","99.54","","","","","","NA"
"2014-05-01 11:00","2014","05","12","03:00"," ","7.0","","6.7","","74","","27","","15","","","","99.51","","","","","","NA"
"2014-05-01 12:00","2014","05","13","03:00"," ","7.0","","5.5","","58","","27","","19","","","","99.47","","","","","","NA"
"2014-05-01 13:00","2014","05","14","03:00"," ","7.0","","2.6",""
"2014-05-01 14:00","2014","05","15","03:00"," ","7.0","","N/A","","47","","24","","17","","","","99.41","","","","","","NA"
"2014-05-01 15:00","2014","05","16","03:00"," ","7.0","","2.6","","47","","24","","17","","","","99.41","","","","","","NA"
